id,group_pref,member_count,group_order_1,group_order_2,group_order_3,group_order_4,group_order_5,group_order_6,result
daf65db8-12ce-498c-ad4b-a5aaf660ac1b,"3,6,1,7,5,4",1,3,6,1,7,5,4,3
614c2c99-db75-4de1-aabd-39adb42a46f6,"3,7,6,4,1,5",1,3,7,6,4,1,5,5
ab415284-46b3-43c3-8df0-b7bd399e7a56,"7,4,5,6,1,3",1,7,4,5,6,1,3,7
c67819ee-44b7-4a3f-bfb4-31770273ad0a,"6,4,7,3,1,5",3,6,4,7,3,1,5,6
e2a1751b-941e-4061-824f-3ba8998b55c9,"6,7,3,5,4,1",3,6,7,3,5,4,1,6
d16f768d-20ad-4953-b006-8b9cad350c37,"6,3,1,7,4,5",1,6,3,1,7,4,5,6
f27a9296-3156-411e-b837-ad6ba677bced,"6,5,3,7,1,4",3,6,5,3,7,1,4,6
e0497afb-9f60-4cf6-b5c8-f109ed8d0512,"6,5,1,7,3,4",1,6,5,1,7,3,4,5
7924c39f-ea07-4c33-b040-3619c832df8a,"4,5,3,6,1,7",2,4,5,3,6,1,7,4
bc506bca-ebc2-4367-9719-3bf6439a56b8,"3,4,7,6,1,5",3,3,4,7,6,1,5,3
eb0b9f6f-d18e-4b4c-b797-14885e2e5a24,"3,7,1,4,6,5",1,3,7,1,4,6,5,1
f8d0c839-7ba2-437c-a3fe-8b3584f2e114,"6,1,3,7,4,5",1,6,1,3,7,4,5,1
61a92c28-ebe9-4be9-a4a5-ba5311238d19,"6,7,4,5,3,1",3,6,7,4,5,3,1,7
86252ada-0a82-4107-aa85-110419e5f93a,"6,4,3,5,7,1",3,6,4,3,5,7,1,5
61e15f00-cf02-4efe-adcd-bb0b01a9556a,"3,7,6,4,1,5",1,3,7,6,4,1,5,3
ca581fcc-6f3a-4ef4-83df-db8637c558da,"6,4,3,7,1,5",3,6,4,3,7,1,5,5
18094fa4-e826-406c-a532-ceec74e56957,"6,7,4,5,3,1",2,6,7,4,5,3,1,6
39ad7b91-fad6-4298-a916-b0babc0ec9d1,"6,3,1,4,7,5",1,6,3,1,4,7,5,1
3c66cd73-f3db-4e96-8a5a-402326a74f15,"6,4,3,5,7,1",1,6,4,3,5,7,1,5
65d0aeee-abc4-486b-81f4-bb1018878688,"3,6,4,7,5,1",1,3,6,4,7,5,1,3
fd831284-bc85-4984-a985-7dd709155fa0,"7,4,6,5,3,1",2,7,4,6,5,3,1,7
b9829fdd-863a-4e14-838e-5a932baef7e7,"6,3,1,7,5,4",1,6,3,1,7,5,4,6
479d27e9-6be1-4bd3-a55f-bdd83fb7ca1b,"6,3,4,7,1,5",3,6,3,4,7,1,5,5
22802cef-6da0-48ce-80e7-05ccbc848314,"6,4,7,5,1,3",1,6,4,7,5,1,3,6
32552b5a-ce9c-46f8-8a50-bec168068e4d,"6,3,1,7,5,4",2,6,3,1,7,5,4,1
80d40059-0d7c-4445-be5c-595c35d24370,"6,3,4,1,7,5",1,6,3,4,1,7,5,1
19e82d4c-672f-4600-9887-85f2551cf8ae,"6,5,4,3,7,1",1,6,5,4,3,7,1,5
27c69f9b-bbcf-462e-91bb-b2f2aa83be1c,"7,6,4,5,3,1",1,7,6,4,5,3,1,7
ddae0ce5-655f-42b8-bc7a-d23ac8029d26,"5,4,6,1,3,7",3,5,4,6,1,3,7,5
2b445ae4-149f-472d-97d5-a31d4e795351,"3,5,4,1,7,6",1,3,5,4,1,7,6,3
a4b31cf3-29a7-4b35-8a3a-223d16229c76,"4,3,5,1,6,7",2,4,3,5,1,6,7,4
758463db-5c84-41cc-a344-5ee9c45b23b9,"4,1,6,7,3,5",2,4,1,6,7,3,5,4
44387cf7-08fe-4c60-ac6a-ea862b0260c0,"5,4,7,6,3,1",1,5,4,7,6,3,1,5
2fdaaa64-5b02-4c20-9bd7-353ab8355adf,"6,7,1,3,5,4",3,6,7,1,3,5,4,6
6f383bb0-4f84-4984-904f-ae23d8dc38a4,"4,1,5,6,3,7",1,4,1,5,6,3,7,4
aaa81855-10d3-4bc2-95e8-caf5f5fd95c7,"3,4,6,7,1,5",3,3,4,6,7,1,5,3
75b960d3-952b-4181-8ad9-5c89f5f585b1,"6,7,3,1,4,5",1,6,7,3,1,4,5,6
26623004-8fa0-4ce5-8019-f99bac9a1d4a,"4,3,6,1,5,7",2,4,3,6,1,5,7,4
cc68cedf-8562-4660-bb31-767a0fb504cb,"3,7,1,6,5,4",1,3,7,1,6,5,4,3
f0e46f2b-13f1-4601-964d-5e1962a6bfa2,"3,7,1,6,5,4",3,3,7,1,6,5,4,3
b7458685-869e-403d-a49e-aa85efeb3b36,"6,4,7,3,5,1",3,6,4,7,3,5,1,6
34afeae1-fa7d-4008-afee-718ff2f3c9d7,"6,4,7,3,5,1",3,6,4,7,3,5,1,5
8e3c28e2-708e-468f-b8d0-9f55cbcfe15c,"7,6,5,4,3,1",3,7,6,5,4,3,1,7
7ea4f131-8430-49e9-9662-00ef51050f16,"4,5,3,1,6,7",3,4,5,3,1,6,7,4
6b554aba-6882-4959-be5a-ade69d45a66b,"3,6,5,7,1,4",2,3,6,5,7,1,4,5
d0f2b01d-eacc-42b3-9301-08d1dbc3383c,"3,4,1,5,6,7",3,3,4,1,5,6,7,3
13c44cbb-3f34-4aab-b606-03e4b6c208a2,"6,3,1,4,7,5",3,6,3,1,4,7,5,1
629c699a-c18a-48cb-889e-4fc071c216c8,"6,1,5,3,7,4",1,6,1,5,3,7,4,6
eed93168-1635-4720-9abb-748199c32b91,"5,4,7,6,1,3",3,5,4,7,6,1,3,5
bdb8d20a-3901-404f-a3d1-4c4c101a95ab,"6,7,1,5,4,3",2,6,7,1,5,4,3,6
6594972b-d1f7-493a-8eb9-fe2b3f03f54a,"7,6,3,4,5,1",3,7,6,3,4,5,1,7
da3121ae-f998-4c18-878d-1525d5599016,"4,3,6,7,1,5",2,4,3,6,7,1,5,4
fbb3676a-b062-4e0f-941c-6ec189426da9,"6,1,7,3,5,4",3,6,1,7,3,5,4,6
9b98fab3-209f-459a-b988-b3846e6a9d5e,"7,3,6,1,5,4",3,7,3,6,1,5,4,7
95a72edb-b500-4e63-9e92-73d0718a4723,"1,6,5,7,4,3",1,1,6,5,7,4,3,1
a2a24c07-dc45-4dec-8192-ccca7f325e19,"6,7,4,3,1,5",1,6,7,4,3,1,5,5
c45be04d-cc2a-4934-bf66-cae502c412a0,"6,5,1,7,4,3",2,6,5,1,7,4,3,6
0c5f317c-34c7-4f44-b41a-845f80bda673,"4,3,1,6,5,7",1,4,3,1,6,5,7,4
f3764ef4-aa22-4222-b490-099d544a6a49,"6,3,7,1,4,5",3,6,3,7,1,4,5,6
bedfccfc-ae94-420b-91ad-dd8314048d6d,"4,3,6,1,5,7",1,4,3,6,1,5,7,4
1ab506d8-05a4-4432-a650-687865a99582,"3,4,7,5,6,1",2,3,4,7,5,6,1,3
4ed4a2bf-89d3-41d3-86d4-977fb086c55e,"4,3,7,6,1,5",1,4,3,7,6,1,5,4
3fb79075-50f8-4bed-b272-cb2c59fce220,"6,7,1,3,5,4",2,6,7,1,3,5,4,6
f2d76d5b-a6b6-4e89-a3c7-01fe0bde6e3e,"6,7,4,3,5,1",1,6,7,4,3,5,1,7
613b419d-4b73-4915-92f5-d7320004a92d,"5,4,6,1,7,3",1,5,4,6,1,7,3,5
1c23bdfd-cda8-4428-98c8-9a934cd3fab1,"3,7,6,4,5,1",3,3,7,6,4,5,1,3
bb133c95-f1ae-4d2d-bc4a-33fd4562193a,"6,4,7,5,3,1",3,6,4,7,5,3,1,6
6e4dcace-86fc-4239-86df-9d47e32b9822,"3,6,7,4,1,5",3,3,6,7,4,1,5,3
8e5ffb2b-b5c1-4a5d-8732-a894dae99203,"4,3,6,1,5,7",3,4,3,6,1,5,7,4
9c940849-a3df-4aa8-9b36-cbda7f90e5c0,"6,3,1,4,7,5",1,6,3,1,4,7,5,1
8b07bfdf-592a-46ad-9626-7ec8cc1efaaa,"6,4,1,7,3,5",3,6,4,1,7,3,5,6
5c9b83d4-23f2-42e3-9c3e-4079831d8af2,"1,6,5,7,4,3",3,1,6,5,7,4,3,1
54ff6f5b-5587-4a28-afcf-3889a91f1897,"4,3,6,1,5,7",3,4,3,6,1,5,7,4
7d0595b3-9ccf-49ce-9ca7-62a261f59f22,"6,7,3,1,5,4",1,6,7,3,1,5,4,1
4a4aadcd-51ba-4fd0-b052-6fc1841d55d9,"3,4,5,7,6,1",1,3,4,5,7,6,1,3
3253d618-facb-48f8-ba4b-614cdd931c28,"4,3,6,5,1,7",1,4,3,6,5,1,7,5
cfce939f-22ca-4654-abaa-994a26f8f669,"3,6,5,7,1,4",3,3,6,5,7,1,4,3
baa65360-a43c-47b2-a533-1bed7e9068ad,"3,4,6,7,1,5",3,3,4,6,7,1,5,5
1c4a0c4d-09ba-4883-be9a-fae571a3ec4e,"3,1,6,5,4,7",2,3,1,6,5,4,7,3
278ba432-a8a4-4256-9d78-514132f4012e,"3,1,6,5,4,7",2,3,1,6,5,4,7,3
6f4716cc-47f3-4b24-a9db-b779d54b9b12,"6,5,4,3,7,1",1,6,5,4,3,7,1,5
13b5fe21-1880-4d4e-bd7f-1d2591832af6,"4,3,1,5,6,7",2,4,3,1,5,6,7,4
c17a7cb3-1f02-4ae5-8dd9-f1023e078893,"6,3,7,5,4,1",1,6,3,7,5,4,1,5
eeeb651a-9570-4296-9f00-8ab8fb578ff6,"6,4,3,7,1,5",3,6,4,3,7,1,5,6
9e5e2978-8ad1-443b-8009-7efdfa628769,"1,3,7,6,4,5",2,1,3,7,6,4,5,1
4b6a701e-96a0-45a6-9b23-2b988ce1994f,"4,3,6,1,5,7",3,4,3,6,1,5,7,4
849d99c3-b6f7-41a8-9102-bf6c6e8e5eed,"4,3,6,1,5,7",2,4,3,6,1,5,7,1
7e5d8bf9-cf07-47e3-a978-7b8d212e78b2,"3,1,7,6,5,4",1,3,1,7,6,5,4,3
a0d439a8-016c-4376-bb5c-b4dc9a4b9e72,"6,7,3,5,1,4",2,6,7,3,5,1,4,7
c96388f0-d808-4e51-a868-6f9ccf8fbde8,"6,3,7,4,5,1",2,6,3,7,4,5,1,5
ea239326-8702-430f-b67a-2e2f6c4b1248,"3,7,6,5,1,4",3,3,7,6,5,1,4,3
ec30f32e-f4d8-4623-b322-6a3fd2965bcd,"7,6,1,3,5,4",1,7,6,1,3,5,4,7
49dd94b0-63e1-4ec3-a3a3-d126811b3477,"6,7,3,5,4,1",1,6,7,3,5,4,1,6
b6561e91-402a-46a5-9443-dd733e699a99,"3,1,6,5,4,7",2,3,1,6,5,4,7,3
a3156c74-075f-4032-b085-7cf6efc20aeb,"6,3,7,1,4,5",3,6,3,7,1,4,5,6
002cb2f6-248a-4186-95ad-a6bacfacf513,"1,6,3,7,4,5",1,1,6,3,7,4,5,1
66022f11-cbd0-4392-8e32-186e75e7adfe,"1,5,4,7,6,3",1,1,5,4,7,6,3,1
bf8dd324-6a85-4300-885a-49b242a1f6d2,"7,3,6,1,4,5",2,7,3,6,1,4,5,7
23d5b353-20d7-4bc1-bab7-d102e54efd7d,"6,4,5,7,3,1",1,6,4,5,7,3,1,6
3656c47e-d860-4afc-8519-6e29029d1e97,"6,3,7,1,5,4",3,6,3,7,1,5,4,6
ae2be29f-fb2d-4772-9fe7-2c6c66e2703b,"6,1,7,3,5,4",3,6,1,7,3,5,4,1
83baa4c6-4f45-484e-ae2c-c46f7cb8680f,"6,7,3,1,4,5",2,6,7,3,1,4,5,1
f64f15c1-9fa0-4fd3-9ece-6534cc1cd84e,"6,7,5,1,4,3",1,6,7,5,1,4,3,6
90dc4edc-5d36-4c4a-9040-ce39c56662f4,"4,6,3,7,1,5",1,4,6,3,7,1,5,4
77f3d403-a014-4014-ae84-fc45d87654fe,"7,6,5,4,1,3",2,7,6,5,4,1,3,7
6d1f8b04-3e03-44fe-aec4-41034d147873,"4,6,7,5,3,1",2,4,6,7,5,3,1,4
fab6474e-7e94-43ed-8ae3-39a822714cfc,"3,6,1,7,5,4",3,3,6,1,7,5,4,1
fdb45a58-17d0-4878-b4b2-54e12d2e1414,"6,7,1,3,5,4",2,6,7,1,3,5,4,1
0abcd519-98cc-4bc3-b859-1655001b1f72,"4,6,1,3,7,5",2,4,6,1,3,7,5,4
01c399a1-019c-4cc6-8677-193a82278117,"7,6,1,4,3,5",1,7,6,1,4,3,5,7
f3c32946-4224-4158-894d-078dac06b761,"4,5,1,3,6,7",1,4,5,1,3,6,7,4
6a0a6dfa-69fd-4364-ade3-c58a782506b9,"4,7,5,6,3,1",1,4,7,5,6,3,1,5
589bb989-db68-42e1-99f1-68086a29d77e,"3,4,7,6,5,1",1,3,4,7,6,5,1,3
f7607326-0778-40b2-a145-2864c379fef3,"7,6,1,3,4,5",2,7,6,1,3,4,5,7
00598896-7857-42fd-be8d-4082e1c21f0e,"4,6,1,7,3,5",2,4,6,1,7,3,5,4
3acd8b64-7620-46c9-80b7-9831d3395cd0,"4,6,7,5,1,3",1,4,6,7,5,1,3,4
cb9bbb86-5180-4b05-8e46-81b425c65cdd,"3,6,1,4,7,5",2,3,6,1,4,7,5,1
d1d810ee-134e-43a9-ac09-2e156b3ac08f,"4,3,6,1,5,7",1,4,3,6,1,5,7,4
bc0c3af9-8596-4b41-be94-11d5b2ab3c9f,"3,4,6,5,7,1",1,3,4,6,5,7,1,3
f2897b12-ce7a-4192-8a3a-62fad07e641d,"5,3,6,4,7,1",1,5,3,6,4,7,1,5
9398bd15-003e-4ca1-bca8-9990ad6ed15a,"4,6,1,5,3,7",1,4,6,1,5,3,7,4
954a8503-8c50-4085-a763-deae4064399b,"7,6,4,3,1,5",1,7,6,4,3,1,5,7
207d9570-f1ce-44af-8f3c-ef8c14732b40,"6,5,3,1,4,7",1,6,5,3,1,4,7,6
7e24ff52-7b86-45d1-af0a-a84a38776037,"5,3,7,1,4,6",1,5,3,7,1,4,6,5
95855f21-7ffe-4369-8d2b-522e71f7e818,"4,3,7,5,1,6",1,4,3,7,5,1,6,4
c55f42d4-d08a-4450-b7aa-14481e64b1b4,"3,7,1,6,5,4",1,3,7,1,6,5,4,3
91142833-1f37-4b05-b7ed-bb4e987222eb,"1,4,7,3,6,5",2,1,4,7,3,6,5,1
58fa2c93-b38d-405f-a9de-4ac3b05aea38,"1,6,5,3,7,4",2,1,6,5,3,7,4,1
df791f33-2d73-4f1a-8442-b6553b8e071f,"6,1,7,5,3,4",1,6,1,7,5,3,4,6
338b2122-4479-4ce0-b15f-a1ef78c22428,"4,5,1,7,3,6",1,4,5,1,7,3,6,5
0eb3d9cc-c0b3-4554-a1d9-d67a4f6909a1,"1,4,5,3,6,7",1,1,4,5,3,6,7,1
f35a5636-3304-4816-b20c-6d9f0fcf08bc,"3,4,7,6,5,1",3,3,4,7,6,5,1,3
83fda222-35bd-480c-a4b9-d3fbc38df984,"1,6,3,7,5,4",1,1,6,3,7,5,4,1
d670e3c7-8aac-4c9b-af8d-03219ca54204,"1,3,4,5,6,7",3,1,3,4,5,6,7,1
1fb6dce4-9315-4655-a76b-5efd1a6ab681,"4,7,6,5,3,1",1,4,7,6,5,3,1,4
9ff83229-8722-4df1-b2c3-39cb04b896b2,"4,1,6,5,3,7",2,4,1,6,5,3,7,4
62958121-607b-4cf6-b699-4da1b3bbf293,"6,7,5,1,3,4",2,6,7,5,1,3,4,6
074d7ac9-a210-4750-8b9c-4de69ee1fb8a,"6,4,3,5,1,7",3,6,4,3,5,1,7,5
105ff995-90ab-454f-bf50-c158647ee78f,"7,6,1,4,5,3",1,7,6,1,4,5,3,7
081947a0-941f-44f5-acda-3e7dd463a9b5,"7,6,4,3,1,5",2,7,6,4,3,1,5,7
2369061a-6e9a-4d57-a09c-c34712053d16,"7,3,1,5,6,4",2,7,3,1,5,6,4,7
e95d18b2-8621-4570-a789-08e5e1c8c53e,"7,3,6,1,5,4",3,7,3,6,1,5,4,7
daa3ae11-9e54-4449-a061-6722c358b3ef,"4,1,6,3,5,7",1,4,1,6,3,5,7,1
0be395bc-58f6-4cf7-8945-ff64e861406c,"6,4,5,1,3,7",1,6,4,5,1,3,7,5
eb572fd9-3012-4977-9353-ea82b8f4c4fe,"7,3,6,1,4,5",3,7,3,6,1,4,5,7
cfe77fc9-879f-4d4b-a498-0a81cad4cf9a,"3,1,7,5,6,4",3,3,1,7,5,6,4,3
35668288-8558-4a6d-96b6-945f2ee209a2,"3,7,5,4,1,6",1,3,7,5,4,1,6,3
11353237-bf20-4f97-9d1a-367ee20ef657,"6,4,5,3,7,1",3,6,4,5,3,7,1,5
592caaf5-a0c3-4641-8e2e-d64557dcd260,"4,3,1,7,6,5",1,4,3,1,7,6,5,4
76afdbeb-6c8f-4ebb-a5c5-a579a3aad34c,"7,3,6,4,1,5",1,7,3,6,4,1,5,7
a5c6f560-f3f8-4442-a243-2990bf178233,"6,7,3,1,4,5",2,6,7,3,1,4,5,6
bc3c9cec-0261-4ad1-886d-9e2b3c81f046,"7,6,1,3,4,5",2,7,6,1,3,4,5,7
b3292daa-2d10-4101-b2cb-a898888fd37b,"6,7,3,1,4,5",3,6,7,3,1,4,5,1
60657fdc-a062-490d-a243-2bf0af5b8623,"4,7,3,5,6,1",1,4,7,3,5,6,1,4
71a20e2a-5751-4c9d-a465-8a05a8f38200,"6,3,1,7,4,5",1,6,3,1,7,4,5,1
24ef1462-e3d9-49f2-b968-3a8de96a5b73,"4,6,1,3,7,5",1,4,6,1,3,7,5,1
560f9771-4a92-496d-ba38-184867680c46,"4,1,6,7,3,5",3,4,1,6,7,3,5,1
0e50e7ed-de44-4b1d-8740-b6dc986c9066,"3,1,4,6,5,7",1,3,1,4,6,5,7,3
431298ff-3445-4dde-a7d3-4cb3d98a6e4e,"6,4,5,7,3,1",1,6,4,5,7,3,1,5
6ac4e2e0-b967-4af5-a261-f5cb075eb60a,"4,6,1,3,7,5",1,4,6,1,3,7,5,4
11bc1183-a64e-4004-8b2e-d49ccc13cf89,"7,6,3,1,4,5",3,7,6,3,1,4,5,7
77442d08-cacf-49a3-8699-301bb40b1ff0,"3,1,6,7,5,4",1,3,1,6,7,5,4,3
ee1cd699-1ace-4670-99ea-97bcf31118d3,"6,7,1,3,5,4",3,6,7,1,3,5,4,6
fc744575-6b76-4c0f-82e8-4a55f54358c3,"6,3,7,1,5,4",1,6,3,7,1,5,4,1
751c32b1-ef30-49b1-a1a3-92dcb2fc77e8,"6,3,7,1,5,4",2,6,3,7,1,5,4,6
10c3cb8f-748e-468f-959d-3ab3719dfd62,"4,7,3,6,5,1",3,4,7,3,6,5,1,4
c12dbe0e-7db6-47c4-ae3c-269fcaf1cbc1,"6,7,4,1,3,5",1,6,7,4,1,3,5,6
8db9da12-705f-43d7-a1ec-2093934d05fc,"1,6,3,7,4,5",3,1,6,3,7,4,5,1
3900d2bb-6d98-485b-b2be-d742940b10ec,"4,7,6,3,1,5",1,4,7,6,3,1,5,5
189613cb-e15b-45e4-a51e-437500029e15,"6,7,1,3,5,4",2,6,7,1,3,5,4,6
469dc835-9f5b-4d27-9fb5-ea00187f57cc,"4,1,5,7,3,6",1,4,1,5,7,3,6,4
179b66fa-9f84-45dd-b0b7-a168098e07e6,"6,4,7,5,3,1",3,6,4,7,5,3,1,6
0e0cc7d0-3c0d-4961-a4d5-72f6bbb5460d,"3,7,1,4,6,5",1,3,7,1,4,6,5,1
89f7ad91-8b7e-4743-a4e6-8367999a6aea,"6,4,3,5,1,7",1,6,4,3,5,1,7,6
71d6289a-fa35-445f-815a-bf539c9da41e,"3,1,5,6,4,7",1,3,1,5,6,4,7,3
d08850ee-3c56-4207-90a0-26efe63de05b,"7,6,3,5,1,4",1,7,6,3,5,1,4,7
5a998abe-1db1-4007-8e2d-2b4b063312fb,"4,1,3,5,7,6",1,4,1,3,5,7,6,4
3a965e74-4125-41ef-9960-f9711ad43a1a,"4,6,3,1,5,7",1,4,6,3,1,5,7,4
9d66771e-3606-4b11-9f75-d73f4e8fa2f8,"3,7,5,1,6,4",2,3,7,5,1,6,4,3
b2fe47c2-3ff0-4c3b-a12c-9c8660975d16,"1,7,5,3,6,4",3,1,7,5,3,6,4,1
ffc8ef22-765a-4d46-abca-c8b65a835a9c,"6,4,3,5,1,7",1,6,4,3,5,1,7,5
35806a4e-3672-4c6f-a745-ab66ce4fe76c,"4,6,3,1,7,5",3,4,6,3,1,7,5,4
12647cb3-c540-4e49-ba87-6724f6b1117c,"4,7,3,1,5,6",2,4,7,3,1,5,6,4
ba0bb49a-3b92-44cd-a719-970ac5424537,"4,3,7,5,6,1",2,4,3,7,5,6,1,4
4b0b03ec-c4d6-4e88-ad48-773e528fe6ff,"6,7,4,3,1,5",2,6,7,4,3,1,5,5
83478150-5988-4a2b-af9b-3e9a5f689977,"4,5,1,3,6,7",3,4,5,1,3,6,7,4
ccbea639-3c9c-4527-ae8d-dbd87639e04f,"7,3,1,4,6,5",1,7,3,1,4,6,5,7
bd3a82ec-5b4e-4991-ae5a-2e90429f4de8,"7,5,3,1,4,6",1,7,5,3,1,4,6,7
84d28a7c-04d1-49fc-8967-a224e528aff3,"4,1,5,6,3,7",1,4,1,5,6,3,7,4
ef87ec43-0465-4ed6-ab84-88abb6c3a50f,"3,4,7,1,6,5",1,3,4,7,1,6,5,3
f28a0a1a-b729-401a-8185-0e7fb8b3d190,"7,6,3,1,4,5",1,7,6,3,1,4,5,7
6d74378d-313d-44fe-a449-4e328a0ffa9b,"6,3,7,4,1,5",3,6,3,7,4,1,5,1
ff4f8ff9-ec72-4841-bc00-b569fc536477,"6,3,7,1,4,5",1,6,3,7,1,4,5,6
4ca118fe-89c1-46ff-a4a3-135d58ac3698,"3,5,6,7,1,4",1,3,5,6,7,1,4,5
580b3e28-e151-431e-b7fb-573cba039641,"6,3,1,5,7,4",3,6,3,1,5,7,4,6
bb68750f-5961-459c-9702-e9499566f870,"6,7,3,5,4,1",3,6,7,3,5,4,1,6
60b5a06a-d98a-49d7-bf5a-a85ef31fdef5,"3,7,6,5,1,4",1,3,7,6,5,1,4,3
f42536c4-6a2a-433d-9004-f2ea132fff0c,"4,7,1,3,6,5",3,4,7,1,3,6,5,1
002a9baf-d299-4698-b053-88d7feefee18,"4,6,7,5,1,3",3,4,6,7,5,1,3,4
b587510a-0f4a-4b6f-b9fb-35ce97b0e739,"7,6,1,5,4,3",2,7,6,1,5,4,3,7
20f8faf9-91c1-4381-8e2a-455aeecab4ee,"3,1,7,6,5,4",1,3,1,7,6,5,4,3
80accfef-f5f1-498d-80a8-85de1c2d7332,"6,3,7,1,5,4",2,6,3,7,1,5,4,6
